game_id,date,time,league,team,player,place,full_time,first_ht,second_ht,result_full_time,result_first_ht,result_second_ht
a44ff676-8405-4e90-a26d-7d6c7f2257e0,2020-04-16,10:26,Bundesliga,Боруссия Дортмунд,Skromnuy,HOME,2,1,1,W,W,D
a44ff676-8405-4e90-a26d-7d6c7f2257e0,2020-04-16,10:26,Bundesliga,Бавария,Lomik,AWAY,1,0,1,L,L,D
62ef9a81-fe60-4937-a0a4-4a8bec0cc789,2020-04-16,10:26,Bundesliga,РБ Лейпциг,Arcos,HOME,1,1,0,D,D,D
62ef9a81-fe60-4937-a0a4-4a8bec0cc789,2020-04-16,10:26,Bundesliga,Байер 04,vrico,AWAY,1,1,0,D,D,D
6fdd0b76-42da-40e5-932f-e62e433cc613,2020-04-16,10:38,Bundesliga,Бавария,Lomik,HOME,0,0,0,L,D,L
6fdd0b76-42da-40e5-932f-e62e433cc613,2020-04-16,10:38,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,AWAY,2,0,2,W,D,W
3db87f9d-6f04-4be5-829b-6e63210e23a8,2020-04-16,10:38,Bundesliga,Байер 04,vrico,HOME,2,0,2,W,D,W
3db87f9d-6f04-4be5-829b-6e63210e23a8,2020-04-16,10:38,Bundesliga,Боруссия Дортмунд,Skromnuy,AWAY,0,0,0,L,D,L
0293923f-7fbd-42ae-9689-d3b04003aedf,2020-04-16,10:50,Bundesliga,Боруссия Дортмунд,Skromnuy,HOME,1,0,1,L,L,W
0293923f-7fbd-42ae-9689-d3b04003aedf,2020-04-16,10:50,Bundesliga,РБ Лейпциг,Arcos,AWAY,2,2,0,W,W,L
2d3f10b4-7d18-49d7-b175-af26b3bd26cd,2020-04-16,10:50,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,HOME,2,1,1,D,W,L
2d3f10b4-7d18-49d7-b175-af26b3bd26cd,2020-04-16,10:50,Bundesliga,Байер 04,vrico,AWAY,2,0,2,D,L,W
a0d225c0-62c9-4cad-8965-d0f93df4ecb3,2020-04-16,11:02,Bundesliga,Байер 04,vrico,HOME,2,2,0,L,W,L
a0d225c0-62c9-4cad-8965-d0f93df4ecb3,2020-04-16,11:02,Bundesliga,Бавария,Lomik,AWAY,3,1,2,W,L,W
c29843fc-3e8d-4aa7-b52e-2f7ff29d6cec,2020-04-16,11:02,Bundesliga,РБ Лейпциг,Arcos,HOME,5,2,3,W,W,W
c29843fc-3e8d-4aa7-b52e-2f7ff29d6cec,2020-04-16,11:02,Bundesliga,Боруссия Менхенгладбах,PavlikJuravlik,AWAY,1,1,0,L,L,L
02ff46de-a6f9-4596-8613-be710f4684e5,2020-04-16,11:14,Bundesliga,Бавария,Lomik,HOME,1,1,0,L,D,L
